Emotion;Tip1Text;Tip2Text;Tip3Text;Tip4Text;Spotify
Serenity,"Say ""I'm sorry. Please forgive me. I love you. Thank you.""","Spritz a scent where you are, whether it's a candle or a perfume, or whatever you have",Go outside and meditate,"Instead of drinking a coffee every morning, try a glass of water instead. Although caffiene can be very beneficial, it is proven to cause anxiety and uneasiness.",https://open.spotify.com/playlist/37i9dQZF1DWWiMGGmWlPNZ?si=ChfKlQqMSNmd63s1arZJmg
Happiness,Listen to some music,"As the title says, smile, its proven to increase happiness instantly",Write down 3 positive things in your life,Fix your posture! Having straighter posture promotes confidence and hapiness.,https://open.spotify.com/playlist/1h90L3LP8kAJ7KGjCV2Xfd?si=ztKdjDAwS0C7MA7Bpi5oIg
Pride,Make a list of your accomplishments,Visualize yourself succeeding,Stand up straight and walk with confidence,Eliminate negative thinking. Especially when self-critical.,https://open.spotify.com/playlist/37i9dQZF1DWVciwe52Zt0R?si=shfUOCvWS6SkPx1N-EWFJw
Inspiration,Pickup and read a book for 20 minutes,"Draw something, even if you aren't a great artist",Listen to some forgotten music,Go outside and explore! We recommend a nature trail.,https://open.spotify.com/playlist/55purW6W0gd2r2O3I8Aqa5?si=izkKbZKrRmq_RofiPPkTJQ
Satisfaction,Be grateful for what you have,Recognize that having more does not ensure happiness,Volunteer to serve others,"Set yourself daily, weekly, monthly, and yearly goals. Whether it's getting out of bed everyday or doing 200 pushups, whatever it is, just do it.",https://open.spotify.com/playlist/37i9dQZF1DXdPec7aLTmlC?si=212xsjwLSIKhVJmf-Ke3mA
Confidence,Have tall posture,Do something that you know you are good at to boost confidence,Sometimes your environment can have a big effect on your confience. Try changing it!,Nothing zaps your confidence more than comparing yourself to others. Lack of confidence comes from a gap in where you see yourself and where you think you should be.,https://open.spotify.com/playlist/37i9dQZF1DX4fpCWaHOned?si=NBC_5HyaScOhObA5gT5pXQ
Motivation,"Sometimes when you're not motivated, you can be really hard on yourself, which furthers your lack of motivation. Instead, you should set the bar lower so you can achieve more and feel better.","Surround yourself with good friends, the more motivated they are the better. When you are surrounded by a group of kind, healthy people, you will start to be like them.","When there is something you need to do but don't feel like doing it, think about how you will feel after doing it. The thought of the feeling of getting something done should help motivate you to get that thing done.",Waking up early and at the same time everyday can be a huge help in becoming more motivated. Take advantage of the morning!,https://open.spotify.com/playlist/37i9dQZF1DXdxcBWuJkbcy?si=sP6SP1WqSKGlaMAKBFvT9w
Optimism,"Every evening, write down three or four great things that happened that day","People who strive to see the positive side of things that go wrong -- rather than venting to friends about what goes wrong, or blaming themselves for small failures -- are happier and more satisfied at the end of the day.","Imagine your dream life in 10 years — what would it look like? How would it feel? Now sit down and write about it: once a week, for six to eight minutes, for one or two months. Spend each session focusing on your “best possible self” in a single domain, such as family, career, romance or health.",Another evidence-based approach to boost your optimism is to intentionally counteract your extremely negative predictions with extremely positive ones.,https://open.spotify.com/playlist/6UDjH9y94GMpGbzEYsqyI6?si=kYogA0HhS9iGH2nvhdciCA
Love,You can’t feel a connection with someone if you can’t really talk to them. Do you feel a strong tie to the neighbor you chit chat about the weather with? It’s doubtful.,"When you’re with someone, actually be with them. Be present. Don’t be texting on your phone or paying attention to something going on around you. Focus on who you’re with and what they’re saying. They’ll notice you’re paying attention and reciprocate, which makes the relationship better for both of you.",Don’t expect to receive love from everyone if you’re not giving it out in equal measures.,"Don’t love someone just because they’re doing well in school, or putting in long hours at work. Don’t use love as a reward, and don’t take it away as punishment. Love your family and friends the same when they’re having a good day as when they’re having a bad day.",https://open.spotify.com/playlist/5KbTzqKBqxQRD8OBtJTZrS?si=Toqr613ATuuM4D3CwLN2aQ
Sadness,Stop thinking about the same negative thoughts over and over again. Practive positive self-reflection.,Learn to forgive. Don't hold grudges understand that everyone is human.,"Try doing something relaxing no matter where you are. If you are at work, take a walk during lunch break. If you are home, take a nice warm bath!","When sadness strikes, simply imagining it as a person can make the emotion feel less intense",https://open.spotify.com/playlist/7ABD15iASBIpPP5uJ5awvq?si=Q4NKbwNPRiqGjLVB5Vl3AQ
Stress,Trying listening to some soothing music.,"Slow down your breathing. Inhale for 4 seconds, hold for 7 seconds, and exhale for 8. Repeat until more relaxed.","If you are stressed about something specific, for example, a deadline. Make a schedule for when you are going to work and when you are going to take breaks. Making a schedule really helps staying on track, therefore reducing stress.",Coloring is a great way to destress. It allows the brain to settle while you get to have fun with crayons! ,https://open.spotify.com/playlist/37i9dQZF1DWXe9gFZP0gtP?si=MnPcPvmzTw-N4RPEUjiVTw
Loneliness,"Social media makes everyone feel bad about themselves because it only highlights the good parts of everyone's lives. Eventhough it make look like someone has a lot of friends and is happy, it can be the exact opposite. Shut off social media and stop comparing yourself to the fake lifestyles of others",Never bail on your plans.,"If you are feeling very lonely, reaching out to family members and just talking to them will almost always help.",electing social activities — and the people that come with them — that are of interest to you can make it a lot easier to connect with others,https://open.spotify.com/playlist/7rjPn3pDenZe3Ko03r46wg?si=HFbaM2W8SbCNoDH5LhcfFw
Anxiety,Anxiety is almost always caused by thoughts about the future. Think about what is happening right now and stop worrying about what might happen.,What is almost certainly causing you anxiety is thinking about the worst case scenario. Step back and realize that the worst case scenario isn't very realistic.,"Look around you and name three things you see. Then, name three sounds you hear. Finally, move three parts of your body -- your ankle, fingers, or arm.","Regular exercise has been found to work as well as medication to reduce symptoms of anxiety and depression. Try exercing more often, 3-5 times a week if possible!",https://open.spotify.com/playlist/5Rw5J4Cb7MpIsiGG1oWi85?si=UM-SwtgkTeCroq49AIhHhw
Insecurity,"If you are feeling like you can't accomplish something, take a step out of yourself for a moment and imagine you are a completely different person. Think about what you would tell another person in your situation.",Write down your fears.,Think about and remember all of the success you have had in your past.,"Your mind could have been whispering that you’re not good enough for your date. Instead of blindly accepting your thoughts, take note if there are any grains of truth in it.",https://open.spotify.com/playlist/3kKjd2uzVPuM5qPsUnlXvk?si=k-hsaZIbRn-tpHUWIT22yw
Anger,Before going off on a temper tantrum. Think about what you are going to say before you say it. Think about the result of your words and how a litte temper can be very destructive.,"As soon as you're thinking clearly, express your frustration in an assertive but nonconfrontational way. State your concerns and needs clearly and directly, without hurting others or trying to control them.","Take a timeout. If you are very angry, walk away and take a break.","Learning to control anger is a challenge for everyone at times. Seek help for anger issues if your anger seems out of control, causes you to do things you regret or hurts those around you.",https://open.spotify.com/playlist/71Xpaq3Hbpxz6w9yDmIsaH?si=mSkTdsm8R6eq0zPQAPTmPA
Jealous,"Beneath the feelings of jealousy lie our own insecurities, which can look like self-esteem issues or the doubts you feel when comparing yourself to others.","Put a rubber band around your wrist, and each time you start feeling yourself slip into jealousy, snap the rubber band.","If you start to feel jealous, take a moment to practice mindfulness and tune into your body to figure out exactly what you are feeling. Try taking a walk or doing some journaling to process your emotions and get to the root of your jealousy.","Of course it is good to appreciate other people, but you can't forget to take care of yourself. Often, we can feel insecure and depressed when comparing ourselves to those around us.",https://open.spotify.com/playlist/75CacwAaKUy2A73a4y8SGZ?si=LgUrYpfJSji1Uk5-4Df3Aw
